UID,Crop Name,B11:SWIR,B12:SWIR,B2:Blue,B3:Green,B4:Red,B5:Vegetation red edge,B6:Vegetation red edge,B7:Vegetation red edge,B8:NIR,B8A:Narrow NIR,2_B11:SWIR,2_B12:SWIR,2_B2:Blue,2_B3:Green,2_B4:Red,2_B5:Vegetation red edge,2_B6:Vegetation red edge,2_B7:Vegetation red edge,2_B8:NIR,2_B8A:Narrow NIR,3_B11:SWIR,3_B12:SWIR,3_B2:Blue,3_B3:Green,3_B4:Red,3_B5:Vegetation red edge,3_B6:Vegetation red edge,3_B7:Vegetation red edge,3_B8:NIR,3_B8A:Narrow NIR,NDVI 1,NDVI 2,NDVI 3
1,Wheat,2055,1257,1080,1017,644,1276,2898,3431,3855,3694,1823,1238,998,896,601,1177,2718,3817,4274,4013,1831,1155,1077,1011,635,1224,3121,4009,4360,4338,0.713714159,0.753435897,0.745745746
2,Potato,1786,1026,1058,1031,738,1202,2818,3390,3347,3530,1721,862,1054,1102,686,1199,3674,4878,4943,5167,1761,793,1110,1093,696,1225,4009,5141,5153,5381,0.638678091,0.756262214,0.7620106
3,Rapeseed,1415,657,1052,1138,695,1328,4092,4921,4732,5151,1167,623,1099,1144,738,1422,3685,4485,4434,4734,1161,560,1135,1187,738,1356,3917,4750,4566,4942,0.743873226,0.714617169,0.721719457
4,Wheat,2041,1229,1097,1099,796,1324,2940,3619,4013,3883,1579,851,1026,1034,655,1132,2954,4045,4721,4300,1608,823,1105,1039,680,1140,3222,4159,4655,4395,0.668954044,0.756324405,0.745079663
5,Rapeseed,1944,1272,1090,1166,825,1490,3533,4194,5022,4445,1789,1221,1125,1099,829,1480,2885,3512,3925,3686,1456,934,1110,1083,725,1339,2946,3576,3930,3852,0.717804002,0.65124106,0.688506982
6,Maize,2005,1256,1156,1115,1016,1439,2490,2772,2785,2944,1511,804,1050,1041,733,1176,3290,4154,4261,4493,1758,863,1129,1122,749,1326,3669,4344,4232,4539,0.465403841,0.706447737,0.699257177
7,Rapeseed,2126,1248,1125,1113,992,1359,2934,3672,3618,3895,1408,750,1064,968,708,1067,2870,3856,3773,4125,1508,771,1123,1011,761,1113,3044,4027,3732,4220,0.569631236,0.683999107,0.661250835
8,Fennel,2348,1668,1165,1133,1171,1498,2284,2659,2593,2851,2606,1934,1226,1223,1313,1723,2407,2735,2612,3006,2166,1525,1200,1166,1118,1525,2310,2654,2420,2868,0.377789586,0.330955414,0.368004522
9,Potato,1819,1182,1118,1072,1013,1282,2327,2685,2580,2850,1727,841,1085,1110,703,1310,4253,5170,5257,5547,1955,885,1128,1090,730,1268,4456,5556,5472,5709,0.4361258,0.76409396,0.764592067
10,Rapeseed,2190,1486,1204,1268,1143,1633,3222,3604,3666,3819,1408,897,1150,1200,849,1461,3318,4063,4047,4194,1529,917,1160,1207,922,1442,3440,4033,3940,4282,0.524641298,0.653186275,0.620732209
11,Wheat,1531,754,1056,985,637,1095,3208,3974,3982,4091,1403,766,1041,921,643,1060,2867,3960,4105,4221,1451,715,1082,978,683,1097,3170,4233,4300,4434,0.724182724,0.729149115,0.725867951
12,Wheat,1797,1034,1062,1025,752,1216,3037,3662,3700,3881,1522,839,1085,1077,710,1317,3105,3782,3851,4074,1508,675,1127,1066,692,1199,3632,4306,4343,4545,0.662174304,0.688664766,0.725124131
13,Rapeseed,1460,754,1070,1130,757,1263,3186,4047,4363,4183,1475,834,1151,1158,898,1493,3073,3677,3732,4098,1325,686,1146,1176,789,1354,3203,3900,3944,4097,0.704296875,0.612095032,0.666596239
14,Castor,1718,948,1111,1017,729,1258,2951,3496,3727,3744,2011,1398,1135,1070,973,1446,2487,2822,3004,3192,1904,1196,1174,1067,930,1337,2507,2943,2981,3204,0.672800718,0.510686447,0.524418307
15,Wheat,1871,1084,1097,1065,758,1174,2677,3260,3339,3339,1552,782,1038,915,633,1011,3024,4339,4372,4633,1527,772,1066,932,638,988,3001,4134,4031,4356,0.629973151,0.747052947,0.726708075
16,Rapeseed,1263,563,1046,1111,672,1232,3667,4664,4866,5071,1302,765,1178,1152,853,1472,3328,4108,4145,4399,1320,696,1174,1179,786,1355,3569,4298,4289,4636,0.757313109,0.658663465,0.690246305
17,Wheat,1675,910,1121,1185,859,1425,3202,3582,3508,3755,1336,760,1095,1139,766,1303,3596,4409,4271,4700,1499,789,1146,1202,824,1437,3722,4590,4262,4693,0.606594916,0.695850705,0.67597326
18,Potato,2085,1438,1178,1162,1240,1488,2410,2772,2527,2968,1648,846,1054,1071,703,1335,3327,4025,4190,4250,1725,885,1118,1077,712,1269,3392,4124,4135,4350,0.341651181,0.712650726,0.706210027
19,Wheat,1831,1073,1087,995,745,1215,2663,3206,3329,3395,1562,862,1045,943,664,1149,2939,3867,3983,4145,1606,827,1092,984,658,1115,3243,4210,4154,4364,0.634266078,0.714224231,0.726517041
20,Wheat,2587,1890,1199,1194,1200,1630,2504,2811,2711,3000,1655,899,1055,1006,672,1056,3205,4368,4447,4647,1811,932,1110,1066,679,1156,3491,4501,4407,4663,0.386346203,0.73744872,0.732992529
21,Rapeseed,2044,1324,1139,1243,827,1575,3340,3700,3880,3922,1892,1314,1209,1290,891,1620,3213,3659,3928,3866,1691,1059,1161,1234,838,1553,3385,3829,4144,4121,0.648608455,0.630213737,0.66358892
22,Rapeseed,2323,1595,1250,1337,994,1719,3365,3917,4176,4031,1500,883,1101,1109,764,1342,3197,4002,4292,4316,1726,978,1178,1264,883,1511,3677,4380,4640,4669,0.615473888,0.69778481,0.680246243
23,Wheat,2592,1921,1345,1401,1519,1774,2573,2863,2783,2963,2117,1436,1261,1322,1159,1641,3303,3923,3820,4127,1868,1118,1213,1199,985,1444,3174,3762,3616,3940,0.293816829,0.534444668,0.57183221
24,Fennel,2486,1761,1296,1357,1512,1666,2367,2836,2796,3052,2309,1646,1357,1396,1584,1753,2595,2976,3039,3358,2308,1580,1311,1320,1455,1687,2559,3006,2878,3233,0.298050139,0.314730694,0.328409878
25,Rapeseed,2316,1485,1205,1238,1104,1502,3190,3829,4160,4107,1966,1365,1255,1245,1129,1498,2995,3714,3832,4002,2005,1248,1205,1271,1107,1504,3382,4077,4198,4407,0.580547112,0.544849829,0.58265787
